epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.979,0.95989,0.96815,1.3062,0.97738,0.87671,0.93774,0.77101,0.66534,0.5333,1.0266,0.000665301,0.000665301,0.000665301
2,306.598,0.65505,0.55157,1.05126,0.98107,0.88883,0.94209,0.81844,0.5397,0.43014,0.96642,0.0012001,0.0012001,0.0012001
3,451.99,0.56619,0.46856,1.00133,0.98353,0.89274,0.94632,0.84421,0.4743,0.38807,0.9173,0.0016029,0.0016029,0.0016029
4,588.223,0.49986,0.42134,0.96679,0.98482,0.89554,0.94674,0.84462,0.44638,0.37881,0.90754,0.001406,0.001406,0.001406
5,729.161,0.46666,0.38577,0.94581,0.98621,0.90209,0.94884,0.88739,0.34471,0.31276,0.86454,0.001208,0.001208,0.001208
6,863.362,0.40205,0.35009,0.91625,0.98816,0.90346,0.94892,0.89604,0.30945,0.2949,0.84835,0.00101,0.00101,0.00101
7,998.357,0.37539,0.33305,0.90485,0.98911,0.90544,0.9504,0.90334,0.2817,0.27604,0.83592,0.000812,0.000812,0.000812
8,1130.86,0.34233,0.31331,0.89111,0.99001,0.90538,0.94992,0.90695,inf,0.26244,0.82775,0.000614,0.000614,0.000614
9,1267.8,0.32198,0.30027,0.88139,0.99151,0.90803,0.95125,0.90989,0.24761,0.25266,0.8224,0.000416,0.000416,0.000416
10,1403.8,0.29838,0.28604,0.87369,0.9914,0.90946,0.95131,0.9118,0.22825,0.24362,0.81803,0.000218,0.000218,0.000218
