epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2547,0.96448,0.85534,1.26295,0.92696,0.91833,0.9709,0.83987,0.58191,0.41068,0.95614,0.000662132,0.000662132,0.000662132
2,94.3523,0.57716,0.40901,0.92085,0.94547,0.93067,0.98134,0.86999,0.51322,0.35738,0.93213,0.00130792,0.00130792,0.00130792
3,139.016,0.55884,0.39373,0.9138,0.94595,0.93632,0.98093,0.87202,0.51962,0.37316,0.92904,0.00193275,0.00193275,0.00193275
4,183.373,0.54152,0.38926,0.9065,0.94512,0.92662,0.98014,0.8649,0.52452,0.38357,0.92838,0.00190571,0.00190571,0.00190571
5,227.538,0.52555,0.36986,0.9011,0.95028,0.94138,0.98348,0.88307,0.4894,0.34228,0.91786,0.00187429,0.00187429,0.00187429
6,272.219,0.52328,0.36785,0.89446,0.94924,0.93894,0.98274,0.87745,0.49009,0.34666,0.92394,0.00184286,0.00184286,0.00184286
7,316.887,0.52268,0.36073,0.89929,0.9544,0.93196,0.98234,0.88318,0.49222,0.33648,0.92241,0.00181143,0.00181143,0.00181143
8,361.483,0.5102,0.35142,0.8971,0.9529,0.94172,0.9836,0.87993,0.49697,0.32515,0.9201,0.00178,0.00178,0.00178
9,406.047,0.51804,0.3509,0.89599,0.95358,0.94012,0.98322,0.88496,0.48392,0.33008,0.91662,0.00174857,0.00174857,0.00174857
10,450.265,0.51606,0.35087,0.89761,0.95154,0.95219,0.98427,0.87727,0.50016,0.32452,0.92062,0.00171714,0.00171714,0.00171714
11,494.635,0.50464,0.34244,0.89207,0.95495,0.94384,0.9839,0.88676,0.48608,0.32186,0.91397,0.00168571,0.00168571,0.00168571
12,539.084,0.50133,0.33761,0.88898,0.95532,0.9451,0.98432,0.88992,0.47544,0.31817,0.91328,0.00165429,0.00165429,0.00165429
13,583.498,0.49087,0.33681,0.88878,0.95402,0.94503,0.98402,0.88091,0.48198,0.31839,0.91206,0.00162286,0.00162286,0.00162286
14,627.905,0.49938,0.34306,0.89469,0.95602,0.94729,0.98432,0.88929,0.47276,0.31976,0.90944,0.00159143,0.00159143,0.00159143
15,672.006,0.4938,0.33599,0.88755,0.95425,0.93641,0.98391,0.88122,0.48661,0.32105,0.9194,0.00156,0.00156,0.00156
16,716.173,0.48621,0.3233,0.88512,0.95309,0.95201,0.985,0.89091,0.46703,0.31011,0.9092,0.00152857,0.00152857,0.00152857
